,book_id,title,author,year,rank,genre,genre_2,genre_3,user_rating,reviews,price
429,1,The Lost Symbol,Dan Brown,2009,1,Fiction,"Mystery, Thriller & Suspense",Thrillers & Suspense,4.2,8747,19.0
459,2,The Shack: Where Tragedy Confronts Eternity,William P. Young,2009,2,Fiction,Children's Books,Literature & Fiction,4.6,19720,8.0
216,3,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,2009,3,Non Fiction,History,Americas,4.8,3828,15.0
38,4,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,2009,4,Fiction,Teen & Young Adult,Science Fiction & Fantasy,4.6,9769,13.0
134,5,Going Rogue: An American Life,Sarah Palin,2009,5,Non Fiction,History,Americas,4.6,1636,6.0
304,6,StrengthsFinder 2.0,Gallup,2009,6,Non Fiction,Business & Money,Management & Leadership,4.0,5069,17.0
402,7,The Help,Kathryn Stockett,2009,7,Fiction,Literature & Fiction,United States,4.8,13871,6.0
241,8,New Moon (The Twilight Saga),Stephenie Meyer,2009,8,Fiction,Teen & Young Adult,Science Fiction & Fantasy,4.6,5680,10.0
473,9,The Twilight Saga Collection,Stephenie Meyer,2009,9,Fiction,Teen & Young Adult,Science Fiction & Fantasy,4.7,3801,82.0
260,10,Outliers: The Story of Success,Malcolm Gladwell,2009,10,Non Fiction,Business & Money,Management & Leadership,4.6,10426,20.0
96,11,Eclipse (Twilight),Stephenie Meyer,2009,11,Fiction,Teen & Young Adult,Science Fiction & Fantasy,4.7,5505,18.0
513,12,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,2009,12,Fiction,Teen & Young Adult,Science Fiction & Fantasy,4.7,11676,9.0
131,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,2009,13,Non Fiction,History,Americas,4.6,1365,11.0
498,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,2009,14,Non Fiction,Biographies & Memoirs,Historical,4.3,3319,11.0
430,15,The Love Dare,Stephen Kendrick,2009,15,Non Fiction,Christian Books & Bibles,Christian Living,4.8,1655,13.0
14,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,2009,16,Non Fiction,Self-Help,Psychology,4.6,5013,17.0
80,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,2009,17,Fiction,Children's Books,Growing Up & Facts of Life,4.8,3181,12.0
520,18,Under the Dome: A Novel,Stephen King,2009,18,Fiction,Literature & Fiction,Genre Fiction,4.3,6740,20.0
398,19,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2009,19,Fiction,Literature & Fiction,Genre Fiction,4.7,8587,10.0
91,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,2009,20,Non Fiction,"Health, Fitness & Dieting",Diets & Weight Loss,4.5,720,1.0
25,21,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,2009,21,Non Fiction,Politics & Social Sciences,Politics & Government,4.6,798,5.0
228,22,"Mastering the Art of French Cooking, Vol. 2",Julia Child,2009,22,Non Fiction,"Cookbooks, Food & Wine",Regional & International,4.8,2926,27.0
